ProductID,ProductName,ProductPrice,ProductCategory
15260852,target compelling channels,234,Books
1453273,synthesize end-to-end systems,331,Electronics
5115608,redefine virtual web services,77,Books
95551430,e-enable viral partnerships,441,Books
12231118,extend sticky technologies,421,Furniture
33769099,redefine B2C convergence,239,Groceries
842509,maximize distributed mindshare,138,Toys
1133318,strategize value-added e-business,247,Electronics
3176894,enable interactive schemas,476,Furniture
8203593,exploit intuitive info-mediaries,72,Clothing
6124058,expedite best-of-breed infrastructures,403,Toys
250600,evolve end-to-end info-mediaries,238,Books
3957013,revolutionize turn-key partnerships,191,Furniture
747186,synergize vertical architectures,198,Groceries
2147170,reinvent vertical architectures,79,Groceries
935833,leverage vertical e-business,313,Toys
71191999,innovate one-to-one initiatives,146,Toys
129855,aggregate end-to-end initiatives,398,Furniture
440047,syndicate clicks-and-mortar e-commerce,290,Electronics
7220450,empower scalable paradigms,224,Books
82543393,drive intuitive networks,272,Books
3420871,iterate end-to-end markets,454,Books
168323,synthesize front-end ROI,409,Electronics
227961,exploit revolutionary partnerships,258,Groceries
822591,evolve seamless markets,236,Clothing
069487,incentivize wireless synergies,236,Furniture
580088,maximize best-of-breed interfaces,215,Electronics
5529546,deploy back-end e-tailers,462,Furniture
4425565,expedite cross-platform initiatives,281,Furniture
46971882,enhance next-generation schemas,260,Toys
94899474,architect 24/365 ROI,152,Sports
42752667,synergize cutting-edge niches,473,Groceries
300705,leverage back-end users,352,Books
92438497,productize scalable mindshare,472,Electronics
71318602,innovate global experiences,260,Books
030883,embrace end-to-end markets,163,Clothing
13492706,innovate global metrics,459,Furniture
279933,empower transparent e-services,419,Furniture
0130604,whiteboard cross-media methodologies,373,Clothing
546303,transform ubiquitous functionalities,326,Electronics
787471,reinvent granular systems,92,Clothing
5747332,synergize extensible e-markets,59,Furniture
79384344,streamline scalable markets,377,Electronics
58269256,extend B2B technologies,340,Electronics
312748,envisioneer virtual partnerships,93,Toys
4018022,redefine interactive communities,404,Groceries
07780076,reinvent synergistic metrics,306,Clothing
497332,iterate e-business applications,108,Groceries
06860830,mesh out-of-the-box info-mediaries,324,Furniture
36478218,maximize bleeding-edge experiences,315,Electronics
800069,strategize bricks-and-clicks e-commerce,204,Books
31973350,strategize end-to-end interfaces,296,Clothing
3047198,optimize granular ROI,387,Books
77584052,drive end-to-end models,265,Toys
39272139,synthesize e-business web-readiness,403,Groceries
3492419,deliver end-to-end portals,290,Furniture
492693,orchestrate viral mindshare,408,Electronics
65291152,deploy cutting-edge platforms,293,Toys
4947359,target innovative systems,250,Groceries
40301071,unleash real-time experiences,422,Books
325759,utilize seamless metrics,235,Toys
650449,drive granular bandwidth,175,Toys
4475224,redefine bricks-and-clicks technologies,191,Books
07456371,productize proactive ROI,299,Sports
5906949,optimize dot-com bandwidth,142,Groceries
8416323,engage extensible architectures,186,Toys
93824379,optimize plug-and-play e-commerce,168,Sports
1550543,architect leading-edge methodologies,262,Sports
51070910,evolve granular vortals,406,Furniture
57077263,benchmark interactive convergence,398,Furniture
89715999,reinvent frictionless methodologies,62,Toys
09641334,scale interactive channels,234,Sports
3659492,incubate robust e-markets,399,Books
913342,maximize global ROI,254,Sports
2458429,repurpose killer applications,63,Electronics
17746137,benchmark scalable experiences,447,Clothing
12160797,optimize front-end architectures,363,Clothing
0906326,transition value-added experiences,60,Furniture
56043430,productize magnetic convergence,259,Electronics
21971605,enable magnetic vortals,78,Sports
82044821,iterate real-time models,71,Electronics
157644,visualize ubiquitous experiences,302,Sports
8464286,monetize distributed e-commerce,406,Electronics
2147920,implement intuitive vortals,267,Clothing
7288622,re-intermediate back-end mindshare,142,Electronics
47835876,revolutionize web-enabled deliverables,266,Books
810294,maximize customized action-items,287,Toys
946001,seize revolutionary convergence,334,Clothing
1655505,deploy impactful convergence,478,Toys
9337001,expedite customized interfaces,71,Furniture
071504,harness clicks-and-mortar markets,74,Toys
1929925,generate killer partnerships,255,Toys
11349521,enhance clicks-and-mortar content,357,Clothing
609686,seize interactive e-business,267,Furniture
4143202,disintermediate cutting-edge markets,102,Furniture
841378,target sticky experiences,357,Clothing
8509354,mesh enterprise functionalities,231,Sports
69026689,aggregate rich content,282,Electronics
808343,drive clicks-and-mortar platforms,234,Sports
7384912,reinvent ubiquitous schemas,169,Groceries
176625,evolve B2B systems,235,Clothing
168769,visualize synergistic web-readiness,295,Electronics
3951698,evolve sticky mindshare,421,Clothing
209974,drive holistic users,314,Electronics
5179550,enable enterprise deliverables,279,Furniture
2705760,enable web-enabled e-business,436,Groceries
036007,revolutionize efficient synergies,418,Clothing
523713,grow value-added paradigms,336,Electronics
95241941,mesh real-time partnerships,90,Furniture
296346,enable rich supply-chains,399,Groceries
4705713,unleash wireless ROI,171,Electronics
340866,matrix innovative e-services,322,Sports
999740,deploy front-end e-commerce,496,Sports
452214,productize interactive niches,489,Toys
58592978,harness real-time systems,257,Sports
2192978,e-enable end-to-end convergence,388,Furniture
471800,maximize compelling deliverables,294,Clothing
26810251,strategize magnetic supply-chains,196,Furniture
3296797,seize efficient networks,140,Clothing
359857,unleash strategic web services,97,Furniture
181206,iterate cross-platform solutions,160,Toys
6361828,whiteboard intuitive systems,171,Electronics
5329310,grow open-source metrics,76,Toys
77083068,empower leading-edge solutions,497,Books
249527,brand efficient e-business,404,Electronics
256453,scale e-business e-tailers,254,Groceries
3107983,harness real-time e-business,431,Books
3518309,orchestrate interactive deliverables,163,Electronics
246113,synergize 24/7 methodologies,241,Sports
2958799,iterate 24/365 convergence,417,Electronics
678907,deliver bleeding-edge niches,387,Electronics
926595,synergize front-end web services,189,Books
45816245,mesh user-centric niches,461,Furniture
0562098,syndicate out-of-the-box web-readiness,224,Electronics
85499705,extend efficient models,434,Groceries
43208644,monetize clicks-and-mortar e-business,443,Sports
006123,transition mission-critical content,388,Furniture
417219,innovate cross-media eyeballs,428,Sports
32165369,synthesize vertical systems,369,Clothing
0458359,monetize virtual ROI,470,Sports
010282,redefine synergistic models,216,Books
6342670,revolutionize turn-key models,428,Sports
57758205,integrate extensible communities,377,Clothing
3146537,synergize granular eyeballs,476,Clothing
1568371,morph seamless infrastructures,349,Clothing
74838394,reinvent synergistic models,487,Books
15541039,whiteboard extensible partnerships,77,Books
29292754,morph impactful bandwidth,267,Sports
099386,revolutionize bleeding-edge infrastructures,108,Books
9182544,visualize proactive action-items,313,Toys
4685631,engage seamless methodologies,177,Electronics
33758844,target 24/7 technologies,223,Furniture
991032,target seamless platforms,324,Sports
402777,integrate e-business deliverables,223,Toys
41692030,engineer frictionless models,440,Sports
02916251,embrace synergistic functionalities,187,Books
494385,repurpose bricks-and-clicks e-commerce,464,Groceries
312373,matrix cross-media niches,402,Toys
359806,facilitate distributed technologies,258,Sports
818525,synthesize next-generation solutions,59,Books
8237816,cultivate revolutionary vortals,259,Toys
6781015,empower compelling applications,352,Books
6544061,revolutionize collaborative networks,193,Furniture
201931,seize leading-edge web services,124,Clothing
70363948,re-intermediate cutting-edge markets,161,Furniture
189108,streamline enterprise markets,277,Toys
85138005,aggregate robust portals,414,Groceries
88909011,architect holistic channels,433,Clothing
1481391,deliver front-end ROI,100,Groceries
7458756,scale frictionless mindshare,137,Electronics
943490,seize viral initiatives,59,Clothing
3994871,implement customized e-tailers,128,Books
67520268,expedite rich channels,245,Clothing
979260,re-contextualize real-time e-business,404,Electronics
20029671,scale viral partnerships,99,Electronics
96308138,grow collaborative action-items,469,Groceries
087404,expedite magnetic applications,433,Groceries
766211,seize extensible methodologies,288,Furniture
1824380,enhance wireless applications,433,Books
0185931,generate compelling niches,443,Electronics
36257078,scale distributed architectures,460,Furniture
0062696,integrate 24/7 supply-chains,105,Clothing
412004,synergize extensible platforms,103,Books
64787277,optimize collaborative relationships,304,Furniture
2915700,incentivize real-time architectures,193,Clothing
64864952,incentivize plug-and-play channels,123,Groceries
79800290,expedite 24/7 info-mediaries,493,Books
0821521,integrate synergistic ROI,462,Furniture
5087602,aggregate value-added initiatives,154,Clothing
451318,aggregate compelling synergies,367,Clothing
2905272,benchmark front-end bandwidth,64,Books
4562137,seize web-enabled interfaces,263,Books
9958193,envisioneer rich systems,271,Books
2948121,incentivize killer convergence,490,Electronics
4434475,iterate innovative schemas,116,Books
23679870,integrate intuitive supply-chains,80,Books
38693346,optimize revolutionary architectures,497,Electronics
918044,morph interactive portals,159,Sports
301713,empower out-of-the-box metrics,379,Electronics
0660484,incentivize innovative applications,346,Furniture
78805240,revolutionize value-added bandwidth,233,Groceries
9340596,aggregate e-business e-markets,181,Groceries
81753013,extend best-of-breed ROI,53,Groceries
29006788,reinvent leading-edge relationships,161,Clothing
78392382,streamline open-source communities,193,Sports
9850166,syndicate front-end e-markets,403,Toys
786517,monetize extensible web-readiness,206,Furniture
1231501,re-intermediate rich partnerships,475,Toys
47330123,deploy mission-critical e-business,233,Sports
932481,benchmark customized mindshare,488,Groceries
013440,benchmark open-source vortals,302,Toys
79114127,leverage next-generation metrics,386,Furniture
8097217,whiteboard extensible info-mediaries,174,Toys
71762933,monetize magnetic niches,208,Clothing
759151,re-intermediate viral initiatives,327,Books
7368218,incentivize vertical e-markets,414,Toys
793498,target world-class models,246,Clothing
813483,aggregate revolutionary e-services,193,Books
718267,generate seamless synergies,409,Electronics
55626842,innovate enterprise ROI,242,Furniture
9033910,maximize integrated info-mediaries,309,Furniture
9824642,revolutionize leading-edge networks,436,Clothing
944430,transform granular users,112,Groceries
8642838,architect best-of-breed networks,417,Groceries
33626743,engage back-end e-markets,98,Books
2778355,transform next-generation models,81,Toys
11841869,redefine sticky experiences,337,Clothing
48630042,iterate open-source e-business,256,Electronics
389290,transition mission-critical methodologies,464,Groceries
1550886,mesh mission-critical solutions,158,Furniture
98366168,morph cutting-edge systems,114,Electronics
072474,enable collaborative web services,195,Sports
1114662,extend collaborative info-mediaries,230,Sports
74545857,incubate vertical e-markets,496,Groceries
71372029,productize real-time niches,449,Electronics
4483035,synthesize enterprise eyeballs,115,Groceries
01451198,evolve robust info-mediaries,312,Toys
48559940,empower real-time e-business,69,Toys
9818160,unleash web-enabled relationships,268,Toys
4447668,re-intermediate best-of-breed architectures,444,Groceries
803402,disintermediate cross-platform experiences,58,Electronics
5723224,engineer back-end models,56,Groceries
91771059,generate revolutionary networks,361,Clothing
7355221,iterate transparent applications,366,Furniture
967352,cultivate strategic interfaces,374,Furniture
048665,scale value-added supply-chains,102,Electronics
413232,drive magnetic synergies,330,Sports
1672340,scale magnetic paradigms,355,Toys
719887,innovate holistic paradigms,287,Sports
618832,mesh e-business communities,354,Clothing
706180,utilize wireless vortals,308,Clothing
190279,harness bricks-and-clicks users,368,Clothing
84162354,matrix compelling bandwidth,392,Furniture
3752951,reinvent magnetic e-services,320,Books
05643270,expedite 24/365 e-business,493,Books
71031403,revolutionize killer niches,327,Sports
8752357,synthesize frictionless networks,216,Books
276069,maximize bleeding-edge deliverables,266,Toys
316100,implement enterprise eyeballs,404,Clothing
07301176,productize turn-key e-services,493,Furniture
4992164,empower back-end experiences,111,Furniture
677489,transform next-generation eyeballs,203,Furniture
273288,disintermediate transparent ROI,330,Clothing
367147,embrace e-business eyeballs,441,Clothing
4961341,embrace viral methodologies,303,Clothing
7092951,orchestrate enterprise infrastructures,448,Groceries
049472,whiteboard e-business markets,369,Clothing
9263922,leverage 24/7 e-services,289,Furniture
463520,grow seamless users,420,Sports
5431774,integrate turn-key models,192,Electronics
1067995,orchestrate viral functionalities,103,Sports
61327879,embrace 24/7 users,222,Groceries
0926451,engineer one-to-one portals,223,Groceries
81674900,incentivize best-of-breed web services,311,Groceries
42670932,whiteboard collaborative convergence,354,Books
450093,leverage global e-commerce,428,Sports
